Nombre,Precio,Valoracion,Tamaño RAM,Tipo RAM,Tarjeta grafica,Velocidad
"Asus GT730-SL - Tarjeta gráfica de 2 GB GDDR5 (DVI, HDMI, 902 MHz, PCI Express 2.0)","89,99","4,6 de 5 estrellas",2048,caché L2,PCI-E,0 MHz
"MSI N730K-2GD3H/LP NVIDIA GeForce GT 730 2GB - Tarjeta gráfica (Pasivo, NVIDIA, GeForce GT 730, GDDR3, PCI Express 2.0, 4096 x 2160 Pixeles)","139,00","4,5 de 5 estrellas",2 GB,MicroDIMM,PCI-Express x16,1600 MHz
"MSI N210-MD1G/D3 GeForce 210 1GB GDDR3 - Tarjeta gráfica (GeForce 210, 1 GB, GDDR3, 64 bit, 2560 x 1600 Pixeles, PCI Express 2.0)","79,91","4,4 de 5 estrellas",1 GB,DDR3 SDRAM,PCI-E,1000 MHz
"ASUS GT1030-2G-BRK - Tarjeta gráfica (GeForce GT 1030, 2 GB, GDDR5, 64 bit, 7680 x 4320 Pixeles, PCI Express 3.0)","85,70","4,4 de 5 estrellas",2 GB,DDR5 SDRAM,PCI-E,1200 MHz
Palit NEAT7300HD46H - Tarjeta gráfica (PCI-E GT730 2048 MB Passive 64bit DDR3 DVI/HDMI/VGA),"89,84","4,3 de 5 estrellas",2048 MB,DDR3 SDRAM,PCI-E,7010 MHz
Lian Li O11DXL-1X no Compatible con RTX 3080/3090 y PCIE 4.0 Kit de Tarjetas de visualización Vertical (Soporte Vertical para Tarjetas gráficas para O11Dynamic XL) (O11DXL-1X),"91,59","4,3 de 5 estrellas",-,DDR4 SDRAM,PCI-Express x16,1
"MSI - N730K-2GD3H/LPV1 - Tarjeta Gráfica Profesional NVIDIA, PCI-E 2.0, 64-bits, DL-DVI-D, HDMI, D-Sub","72,99","4,3 de 5 estrellas",2 GB,L2 cache,PCI-Express x16,902 MHz
Hauppauge Impact VCB - Tarjeta Interna de sintonización de TV (PCI),"91,59","4,3 de 5 estrellas",-,-,PCI-E,-
"EZDIY-FAB Soporte vertical para tarjetas gráficas soporte con multi-ángulo, soporte de GPU, tarjeta de video VGA kit de soporte con cable elevador PCIE3.0 - blanco","72,99","5,0 de 5 estrellas",0,PC2-4200,PCI-E,0
Gigabyte Technology GV-N730D5-2GL GeForce GT 730 2GB GDDR5 Tarjeta gráfica,"92,69","4,1 de 5 estrellas",-,L2 cache,AGP,-
